"Status";"File";"TitlePrimary";"AuthorsPrimary";"PeriodicalFull";"PubYear";"Volume";"Issue";"StartPage";"OtherPages";"Comment"
"Facil acceso";"Zamora2002";"Meta-analysis of the nurse effect of shrubs in reforestations in Mediterranean mountains.";"Zamora,Regino;Gomez,Lorena;Gomez,Jose Maraa;Hodar,Jose Antonio;Baraza,Elena;Castro,Jorge";"Ecological Society of America Annual Meeting Abstracts";2002;"87";" ";455,00;"NA";"Regino"
"NA";"Jeekel";"Notes on some Chilopoda from the Sierra Nevada, Spain.";"Jeekel,C. A. W.";"Myriapod Memoranda";2003;"6";" ";89,00;"101";"no se encuentra website del journal"
"NA";"Martinez Rica2003";"Diversity of alpine vertebrates in the Pyrenees and Sierra Nevada, Spain.";"Martinez Rica,J. P.";"Alpine diversity in Europe";2003;"Volume 167";" ";367,00;"375";"Journal no encontrado"
"NA";"Moreno2003";"Nivicolous myxomycetes from the Sierra Nevada National Park (Spain)";"Moreno,G.;Sanchez,A.;Castillo,A.;Singer,H.;Illana,C.";"Mycotaxon";2003;"87";" ";223,00;"242";"Pdf not available in journal website (link)"
"NA";"Russell2003";"Influence of environmental factors on the regeneration of hardwood species on three streams in the Sierra Nevada.";"Russell,William H.;McBride,Joe R.;Carnell,Ky";"Madrono";2003;"50";"1";21,00;"27";"Acceso en la web del journal (link) desde 2005, en cualquier caso probablemente sobre SN de California"
"Sin";"Benoit2004";"New data from the winter range of citril finch Serinus citrinella in Spain.";"Benoit,F.;Marki,H.";"Nos Oiseaux";2004;"51";"1";1,00;"10";
"Facil acceso";"Gonzalez-Megias2004b";"Ecology of the high mountain chrysomelid Timarcha lugens Rosenhauer (Chrysomelinae).";"Gonzalez-Megias,Adela;Gomez,Jose Maria;Sanchez Pinero,Francisco";" ";2004;" ";" ";563,00;" ";"Correo"
"Sin";"Puetz2004";"[Second contribution to the knowledge of the genus Trichobyrrhulus Ganglbauer, 1902 (Coleoptera: Byrrhidae).]";"Puetz,A.";"Koleopterologische Rundschau";2004;"74";" ";385,00;"398";
"Facil acceso";"Ruiz Bustos2004";"Numerical coding of the molar morphology of the family Muridae Gray, 1821, (Rodentia) for its lineage knowledge, and implications in: biostratigraphy, paleoecology and composition of a correlation language from the phenotype to the genotype.";"Ruiz Bustos,A.";"Micromamiferos y Bioestratigrafia";2004;"2";" ";1,00;"141";"Correo"
"Facil acceso";"Costillo2006";"SNOWS: Sierra Nevada Observatory Weather System - art. no. 62741G";"Costillo,Luis P.;Ibanez,J. Miguel;Aparicio,Beatriz;Garcia,Antonio J.";"Advanced Software and Control for Astronomy";2006;"6274";" ";;"G2741";"No esta en sci-hub"
"Sin";"Padial2006";"Habitat assessment for the reintroduction of the bearded vulture Gypaetus barbatus in Andalusia (south Spain).";"Padial,Jose M.;Romero-Pujante,Marilo;Hernandez,Francisco J.;Donazar,Jose A.;Godino,Alfonso;Carrasco,Antonio;Couto,Sergio;Gutierrez,Jose E.;Ruiz,Antonio;Garcia-Baquero,Maria J.;Simon,Miguel A.";" ";2006;" ";" ";74,00;" ";
"Facil acceso";"Alados-Arboledas2007";"Characterization of the atmospheric aerosol by combination of LIDAR and sun-photometry";"Alados-Arboledas,Lucas;Guerrero Rascado,Juan Luis;Lyamani,Hassan;Navas-Guzman,Franscisco;Olmo Reyes,Francisco Jose";"Lidar Technologies, Techniques, and Measurements for Atmospheric Remote Sensing Iii";2007;"6750";" ";;"67500J";"Correo"
"Facil acceso";"Aranda2007";"Characterization of the organic matter of soil surface horizons in selected Mediterranean environments using IR spectroscopy";"Aranda,V.;Oyonarte,C.";"Agrochimica";2007;"51";"6";269,00;"284";"Correo"
"NA";"Assing2008";"Four new species and additional records of Palaearctic Sunius, with two new synonymies (Coleoptera: Staphylinidae: Paederinae)";"Assing,Volker";"Beitraege zur Entomologie";2008;"58";"2";455,00;"470";"Pdf no disponible en journal"
"NA";"Defaut2007(2008)";"[Validity and fields of application of the diverse taxonomic vocabulary of the Acrididae family (Orthoptera).]";"Defaut,Bernard";"Materiaux Orthopteriques et Entomocenotiques";2008;"12";" ";5,00;"14";"Pdf no disponible en la website de journal"
"NA";"Lucolli2008";"[Sierra Nevada and the monitoring of birds of prey through the 'Projeto Glochamore' (Global Change in Mountain Regions).]";"Lucolli,Silvana";"Atualidades Ornitologicas";2008;"141";" ";4,00;"6";"Probablemente en portugués, pdf no aparece en la web del journal (link)"
"NA";"Peredo2009";"APPLICATIONS OF MOLECULAR MARKERS PRIOR CONSERVATION ACTIONS ON THE SPANISH ENDEMIC Senecio boissieri";"Peredo,Elena L.;Angeles Revilla,M.;Jimenez-Alfaro,Borja;Bueno,Alvaro;Cires,Eduardo;Fernandez Prieto,J. Antonio;Abbott,Richard J.";"Cryoletters";2009;"30";"5";391,00;"391";"There must be a mistake, the journal does show this article in the list of abstracts and neither in the one of pdfs"
