PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
B	SELGA D; SIMON J C; ACON M								VARIATIONS AND CHARACTERISTICS OF THE TERRESTRIAL MICRO ARTHROPOD FAUNA IN SIERRA-NEVADA SPAIN								LOHM, U. AND T. PERSSON (ED.). ECOLOGICAL BULLETINS NFR STATENS NATURVETENSKAPLIGA FORSKNINGSRAD, VOL. 25. SOIL ORGANISMS AS COMPONENTS OF ECOSYSTEMS. INTERNATIONAL SOIL ZOOLOGY COLLOQUIUM, UPPSALA, SWEDEN, JUNE 21-25, 1976. 614P. ILLUS. SWEDISH NATURAL SCIENCE RESEARCH COUNCIL: STOCKHOLM, SWEDEN. ISBN 91-546-0235-1								109	121					1977	1977										0	0	0	0	0	0						BIOSIS:PREV197916012718		
J	SAINT GIRONS H								THE SYSTEMATICS OF VIPERA-LATASTEI-LATASTEI AND A DESCRIPTION OF VIPERA-LATASTEI-GADITANA NEW-SUBSPECIES REPTILIA VIPERIDAE								Revue Suisse de Zoologie				84	3			599	608					1977	1977										0	0	0	0	0	0			0035-418X			BIOSIS:PREV197865044644		
J	SURINACH, E; UDIAS, A								DETERMINATION OF ROOT UNDER SIERRA-NEVADA (SPAIN) BY NUMERICAL INVERSION OF SEISMIC DATA								TRANSACTIONS-AMERICAN GEOPHYSICAL UNION				58	9			911	911					1977	1977										0	0	0	0	0	0			0002-8606			WOS:A1977DS72800204		
J	JIMENEZ GUIRADO D								SOIL NEMATODES IN THE SIERRA-NEVADA OF GRANADA SPAIN AND ADJACENT VALLEYS 1. ANTECEDENTS AND CATALOG OF GENERA AND SPECIES PREVIOUSLY CITED								Cuadernos de Ciencias Biologicas Universidad de Granada				5				35	46					1976	1976										0	0	0	0	0	0						BIOSIS:PREV198018056919		
J	JIMENEZ GUIRADO D								SOIL NEMATODES IN THE SIERRA-NEVADA OF GRANADA SPAIN AND ADJACENT VALLEYS 2. RESULTS OF A PRELIMINARY SAMPLING								Cuadernos de Ciencias Biologicas Universidad de Granada				5				47	52					1976	1976										0	0	0	0	0	0						BIOSIS:PREV198018056920		
J	PASCUAL F								CTENODECTICUS-MAJOR NEW-SPECIES FROM SIERRA-NEVADA SPAIN ORTHOPTERA TETTIGONIIDAE								Cuadernos de Ciencias Biologicas Universidad de Granada				5				83	86					1976	1976										0	0	0	0	0	0						BIOSIS:PREV198069078989		
J	DE WORMS C G M								PLEBICULA-GOLGUS AND OTHER BUTTERFLIES IN THE SIERRA-NEVADA SPAIN JULY 1975								Entomologist's Record and Journal of Variation				88	3			59	63					1976	1976										0	0	0	0	0	0			0013-8916			BIOSIS:PREV197713084141		
J	de Worms, C.G.M.								Plebicula golgus Hubner and other butterflies in the Sierra Nevada, July, 1975.								Entomologist's Record and Journal of Variation				88	3			59	63					1976	1976										0	0	0	0	0	0						ZOOREC:ZOOR11300019581		
J	Vaillant, F.								Psychodidae - Psychodinae [continuing].								Fliegen palaearkt Reg (D)				9	313			183	206					1976	1976										1	0	0	1	0	1						ZOOREC:ZOOR11300020824		
J	FRAHM, JP								PHILONOTIS-HASTATA (DUB) WIJK AND MARG, NEW IN EUROPE								JOURNAL OF BRYOLOGY				9				17	19					1976	1976										3	0	0	2	0	3			0373-6687			WOS:A1976BT10000004		
