"key"	"Authors..Primary"	"Title.Primary"	"Pub.Year"	"Periodical.Full"	"Periodical.Abbrev"	"Keywords"
50	"Pascual,F."	"Description of a New Species Ctenodecticus-Granatensis New-Species from the Sierra-Nevada Spain Orthoptera Tettigoniidae Decticinae"	1978	"Bulletin Zoologisch Museum Universiteit van Amsterdam"	" "	"Life Sciences & Biomedicine - Other Topics;Environmental Sciences & Ecology;Anatomy & Morphology"
51	"Pascual,F."	"Description of a New Species Omocestus-Ilorenteae New-Species from the Sierra-Nevada Spain Orthoptera Acrididae Gomphocerinae"	1978	"EOS-Revista Espanola de Entomologia"	" "	"Life Sciences & Biomedicine - Other Topics;Environmental Sciences & Ecology;Anatomy & Morphology"
52	"Pascual,F."	"Chorthippus-Nevadensis New-Species from the Sierra-Nevada Spain Orthoptera Acrididae"	1978	"EOS-Revista Espanola de Entomologia"	" "	"Life Sciences & Biomedicine - Other Topics;Environmental Sciences & Ecology;Anatomy & Morphology"
53	"Pascual,F."	"Estudio preliminar de los ortopteros de Sierra Nevada. 1. Introduccion general e inventario de especies."	1978	"Boletin de la Asociacion Espanola de Entomologia"	"Bol.Asoc.Esp.Entomol."	"Zoology;Orthoptera [Spain / / Sierra Nevada;Faunal lists]."
54	"Pascual,F."	"Descripcion de una neuva especie de Omocestus Bolivar, 1878, de Sierra Nevada, Espana (Orth., Acrididae, Gomphocerinae)."	1978	"Eos-Revista Espanola de Entomologia"	" "	"Zoology;Omocestus llorenteae [Spain / / Sierra Nevada;New species]."
55	"Pascual,F."	"Descripcion de una nueva especie de Chorthippus Fieber, 1852, de Sierra Nevada, Espana (Orth., Acrididae)."	1978	"Eos-Revista Espanola de Entomologia"	" "	"Zoology;Chorthippus nevadensis [Spain / / Sierra Nevada;New species]."
56	"Pascual,F."	"Estudio preliminar de los ortopteros de Sierra Nevada. 2: Claves para la determinacion de especies."	1978	"Trabajos y Monografias del Departamento de Zoologia Universidad Granada Nueva Serie"	" "	"Zoology;Orthoptera [Spain / / Sierra Nevada;Keys to species & higher taxa]."
57	"Pascual,F."	"Estudio preliminar de los ortopteros de Sierra Nevada, 3: Distribucion ecologica."	1978	"Trabajos y Monografias del Departamento de Zoologia Universidad Granada Nueva Serie"	" "	"Environmental Sciences & Ecology;Zoology;Orthoptera [Community structure / / Mountain vegetation relationships] [Distribution within habitat / / Mountain vegetation] [Mountain habitat / / Vegetation type & distribution;relationships] [Spain / / Sierra Nevada;Distribution]."
58	"Schmidt-Koehl W"	"Butterfly Observations in Morocco Middle Atlas and in Southern Spain Sierra-Nevada in July August 1977 Insecta Lepidoptera"	1978	"Mitteilungen der Entomologischen Gesellschaft Basel"	" "	"Life Sciences & Biomedicine - Other Topics;Environmental Sciences & Ecology"
59	"Schmidt-Koehl,W."	"Tagfalterbeobachtungen in Marokko (Mittlererer Atlas, Hoher Atlas) und in Suedspanien (Sierra Nevada) im Juli und August 1977 (Insecta, Lepidoptera)."	1978	"Mitteilungen der Entomologischen Gesellschaft Basel"	" "	"Zoology;Lepidoptera [Morocco / / Atlas Mountains;Distribution] [Spain / / Sierra Nevada]."
