"Journal";"ISSN";"Abbreviated.Journal.Title";"X.2014..Total.Cites";"Impact.Factor";"X5.Year.Impact.Factor";"Immediacy.Index";"X.2014..Articles";"Cited.Half.Life";"Eigenfactor.Score";"Article.Influence.Score";"categoria"
"ACTA GEODYNAMICA ET GEOMATERIALIA";"1214-9705";"ACTA GEODYN GEOMATER";209;0.389;0.606;0.118;34;"4.9";0.00072;0.208;"MINING & MINERAL PROCESSING"
"ACTA GEODYNAMICA ET GEOMATERIALIA";"1214-9705";"ACTA GEODYN GEOMATER";209;0.389;0.606;0.118;34;"4.9";0.00072;0.208;"GEOCHEMISTRY & GEOPHYSICS"
"ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE";"1217-8837";"ACTA ZOOL ACAD SCI H";457;0.5;0.453;0.115;26;">10.0";0.00036;0.167;"ZOOLOGY"
"COMPTES RENDUS DE L ACADEMIE DES SCIENCES SERIE II";"1251-8069";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PARASITE-JOURNAL DE LA SOCIETE FRANCAISE DE PARASITOLOGIE";"1252-607X";"PARASITE";901;1.092;1.084;0.27;74;"7.4";0.00108;0.287;"PARASITOLOGY"
"ACTA BOTANICA GALLICA";"1253-8078";"ACTA BOT GALLICA";193;0.479;0.389;0.529;34;"5.2";0.00033;0.091;"PLANT SCIENCES"
"CRYPTOGAMIE BRYOLOGIE";"1290-0796";"CRYPTOGAMIE BRYOL";386;1.804;1.174;0.25;32;"6.8";0.00052;0.221;"PLANT SCIENCES"
"ZOOKEYS";"1313-2989";"ZOOKEYS";1748;0.933;0.973;0.21;519;"2.8";0.00832;0.313;"ZOOLOGY"
"PHYTOKEYS";"1314-2011";"PHYTOKEYS";104;0.686;NA;0.239;46;"2.2";0.00042;NA;"PLANT SCIENCES"
"Entomological Science";"1343-8786";"ENTOMOL SCI";545;1.065;1.034;0.25;52;"5.6";0.00143;0.337;"ENTOMOLOGY"
"METEOROLOGICAL APPLICATIONS";"1350-4827";"METEOROL APPL";1034;1.337;1.811;0.158;95;"6.8";0.00273;0.754;"METEOROLOGY & ATMOSPHERIC SCIENCES"
"EUROPEAN JOURNAL OF SOIL SCIENCE";"1351-0754";"EUR J SOIL SCI";4986;2.649;3.487;1.154;78;"8.4";0.00752;1.104;"SOIL SCIENCE"
"ATMOSPHERIC ENVIRONMENT";"1352-2310";"ATMOS ENVIRON";41715;3.281;3.78;0.603;818;"7.9";0.06315;1.047;"METEOROLOGY & ATMOSPHERIC SCIENCES"
"ATMOSPHERIC ENVIRONMENT";"1352-2310";"ATMOS ENVIRON";41715;3.281;3.78;0.603;818;"7.9";0.06315;1.047;"ENVIRONMENTAL SCIENCES"
"Systematic and Applied Acarology";"1362-1971";"SYST APPL ACAROL-UK";325;1.253;NA;0.25;48;"4.6";0.00071;NA;"ENTOMOLOGY"
"ENVIRONMENTAL MODELLING & SOFTWARE";"1364-8152";"ENVIRON MODELL SOFTW";7249;4.42;4.359;0.845;264;"5.3";0.01547;1.11;"ENVIRONMENTAL SCIENCES"
"ENVIRONMENTAL MODELLING & SOFTWARE";"1364-8152";"ENVIRON MODELL SOFTW";7249;4.42;4.359;0.845;264;"5.3";0.01547;1.11;"ENGINEERING, ENVIRONMENTAL"
"ENVIRONMENTAL MODELLING & SOFTWARE";"1364-8152";"ENVIRON MODELL SOFTW";7249;4.42;4.359;0.845;264;"5.3";0.01547;1.11;"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS"
"JOURNAL OF INSECT CONSERVATION";"1366-638X";"J INSECT CONSERV";1355;1.717;1.911;0.045;110;"5.1";0.00352;0.548;"ENTOMOLOGY"
"DIVERSITY AND DISTRIBUTIONS";"1366-9516";"DIVERS DISTRIB";5279;3.667;5.355;0.6;120;"5.5";0.01633;1.93;"ECOLOGY"
"DIVERSITY AND DISTRIBUTIONS";"1366-9516";"DIVERS DISTRIB";5279;3.667;5.355;0.6;120;"5.5";0.01633;1.93;"BIODIVERSITY CONSERVATION"
"JOURNAL OF ASIAN EARTH SCIENCES";"1367-9120";"J ASIAN EARTH SCI";7227;2.741;3.19;0.404;366;"5.3";0.01841;0.961;"GEOSCIENCES, MULTIDISCIPLINARY"
"Belgian Journal of Entomology";"1374-5514";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PLANT ECOLOGY";"1385-0237";"PLANT ECOL";5116;1.463;1.9;0.268;127;"8.8";0.00803;0.606;"PLANT SCIENCES"
"PLANT ECOLOGY";"1385-0237";"PLANT ECOL";5116;1.463;1.9;0.268;127;"8.8";0.00803;0.606;"FORESTRY"
"PLANT ECOLOGY";"1385-0237";"PLANT ECOL";5116;1.463;1.9;0.268;127;"8.8";0.00803;0.606;"ECOLOGY"
"Nematology";"1388-5545";"NEMATOLOGY";1466;1.239;1.299;0.33;103;"8.2";0.00176;0.276;"ZOOLOGY"
"Microlepidoptera of Europe";"1395-9506";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Mitteilungen der Entomologischen Gesellschaft Basel";"1421-3397";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Journal of Wildlife Research";"1426-0328";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"[Data of the sigmatist (Braun-Blanquet) phytosociology. Structure, management, use.]";"1430-0540";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"HYDROGEOLOGY JOURNAL";"1431-2174";"HYDROGEOL J";3895;1.966;2.334;0.472;123;"7.6";0.00742;0.743;"WATER RESOURCES"
"HYDROGEOLOGY JOURNAL";"1431-2174";"HYDROGEOL J";3895;1.966;2.334;0.472;123;"7.6";0.00742;0.743;"GEOSCIENCES, MULTIDISCIPLINARY"
"ASTRONOMY & ASTROPHYSICS";"1432-0746";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ECOSYSTEMS";"1432-9840";"ECOSYSTEMS";7135;3.943;4.572;0.673;104;"8.0";0.0132;1.687;"ECOLOGY"
"PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS";"1433-8319";"PERSPECT PLANT ECOL";1564;3.606;4.331;0.344;32;"6.7";0.0041;1.745;"PLANT SCIENCES"
"PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS";"1433-8319";"PERSPECT PLANT ECOL";1564;3.606;4.331;0.344;32;"6.7";0.0041;1.745;"ECOLOGY"
"PLANT BIOLOGY";"1435-8603";"PLANT BIOLOGY";3632;2.633;2.698;1.019;160;"6.0";0.00722;0.742;"PLANT SCIENCES"
"BULLETIN OF ENGINEERING GEOLOGY AND THE ENVIRONMENT";"1435-9529";"B ENG GEOL ENVIRON";882;0.76;1.112;0.16;94;"7.2";0.00155;0.323;"GEOSCIENCES, MULTIDISCIPLINARY"
"BULLETIN OF ENGINEERING GEOLOGY AND THE ENVIRONMENT";"1435-9529";"B ENG GEOL ENVIRON";882;0.76;1.112;0.16;94;"7.2";0.00155;0.323;"ENGINEERING, GEOLOGICAL"
"BULLETIN OF ENGINEERING GEOLOGY AND THE ENVIRONMENT";"1435-9529";"B ENG GEOL ENVIRON";882;0.76;1.112;0.16;94;"7.2";0.00155;0.323;"ENGINEERING, ENVIRONMENTAL"
"Snudebiller";"1439-4650";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AGRICULTURAL AND FOREST ENTOMOLOGY";"1461-9555";"AGR FOREST ENTOMOL";1102;1.818;1.955;0.543;46;"7.2";0.00205;0.588;"ENTOMOLOGY"
"GLOBAL ECOLOGY AND BIOGEOGRAPHY";"1466-822X";"GLOBAL ECOL BIOGEOGR";6957;6.531;7.18;0.992;132;"6.2";0.02023;2.837;"GEOGRAPHY, PHYSICAL"
"GLOBAL ECOLOGY AND BIOGEOGRAPHY";"1466-822X";"GLOBAL ECOL BIOGEOGR";6957;6.531;7.18;0.992;132;"6.2";0.02023;2.837;"ECOLOGY"
"ECOLOGICAL INDICATORS";"1470-160X";"ECOL INDIC";5651;3.444;3.494;0.698;444;"3.0";0.01685;0.89;"ENVIRONMENTAL SCIENCES"
"Polish Journal of Ecology";"1505-2249";"POL J ECOL";542;0.567;0.647;0.062;64;"6.4";8e-04;0.132;"ECOLOGY"
"ARCTIC ANTARCTIC AND ALPINE RESEARCH";"1523-0430";"ARCT ANTARCT ALP RES";2708;1.515;1.729;0.889;72;">10.0";0.0025;0.618;"GEOGRAPHY, PHYSICAL"
"ARCTIC ANTARCTIC AND ALPINE RESEARCH";"1523-0430";"ARCT ANTARCT ALP RES";2708;1.515;1.729;0.889;72;">10.0";0.0025;0.618;"ENVIRONMENTAL SCIENCES"
"JOURNAL OF HYDROMETEOROLOGY";"1525-755X";"J HYDROMETEOROL";6182;3.645;4.22;0.559;152;"7.4";0.01457;1.712;"METEOROLOGY & ATMOSPHERIC SCIENCES"
"JOURNAL OF SEDIMENTARY RESEARCH";"1527-1404";"J SEDIMENT RES";4637;1.786;2.896;0.182;77;">10.0";0.00526;1.041;"GEOLOGY"
"STAR CLUSTERS IN THE ERA OF LARGE SURVEYS: PROCEEDINGS OF SYMPOSIUM 5 OF JENAM 2010";"1570-6591";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Universidad Autonoma de Madrid Coleccion de Estudios";"1577-1806";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Boletin de la Sociedad Andaluza de Entomologia";"1578-1666";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ENVIRONMENTAL ENGINEERING AND MANAGEMENT JOURNAL";"1582-9596";"ENVIRON ENG MANAG J";1268;1.065;0.806;0.206;325;"2.9";0.00141;0.069;"ENVIRONMENTAL SCIENCES"
"ANNALS OF GEOPHYSICS";"1593-5213";"ANN GEOPHYS-ITALY";966;1.037;1.05;0.196;46;"7.4";0.003;0.493;"GEOCHEMISTRY & GEOPHYSICS"
"EUROPEAN JOURNAL OF WILDLIFE RESEARCH";"1612-4642";"EUR J WILDLIFE RES";1288;1.634;1.57;0.395;114;"4.4";0.00419;0.493;"ZOOLOGY"
"EUROPEAN JOURNAL OF WILDLIFE RESEARCH";"1612-4642";"EUR J WILDLIFE RES";1288;1.634;1.57;0.395;114;"4.4";0.00419;0.493;"ECOLOGY"
"LANDSLIDES";"1612-510X";"LANDSLIDES";1310;2.87;3.205;0.329;85;"5.4";0.00304;0.875;"GEOSCIENCES, MULTIDISCIPLINARY"
"LANDSLIDES";"1612-510X";"LANDSLIDES";1310;2.87;3.205;0.329;85;"5.4";0.00304;0.875;"ENGINEERING, GEOLOGICAL"
"TREE GENETICS & GENOMES";"1614-2942";"TREE GENET GENOMES";1732;2.451;2.563;0.279;136;"3.9";0.00475;0.606;"HORTICULTURE"
"TREE GENETICS & GENOMES";"1614-2942";"TREE GENET GENOMES";1732;2.451;2.563;0.279;136;"3.9";0.00475;0.606;"GENETICS & HEREDITY"
"TREE GENETICS & GENOMES";"1614-2942";"TREE GENET GENOMES";1732;2.451;2.563;0.279;136;"3.9";0.00475;0.606;"FORESTRY"
"MAMMALIAN BIOLOGY";"1616-5047";"MAMM BIOL";892;1.478;1.526;0.414;58;"4.6";0.00279;0.499;"ZOOLOGY"
"JOURNAL FOR NATURE CONSERVATION";"1617-1381";"J NAT CONSERV";673;1.646;1.831;0.318;66;"4.7";0.00184;0.56;"ECOLOGY"
"JOURNAL FOR NATURE CONSERVATION";"1617-1381";"J NAT CONSERV";673;1.646;1.831;0.318;66;"4.7";0.00184;0.56;"BIODIVERSITY CONSERVATION"
"COMPTES RENDUS GEOSCIENCE";"1631-0713";"CR GEOSCI";1963;1.652;2.078;0.242;33;"6.8";0.00456;0.795;"GEOSCIENCES, MULTIDISCIPLINARY"
"GAMMA-RAY BURSTS: 15 YEARS OF GRB AFTERGLOWS - PROGENITORS, ENVIRONMENTS AND HOST GALAXIES FROM THE NEARBY TO THE EARLY UNIVERSE";"1633-4760";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Acta Granatense";"1695-6370";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ecosistemas";"1697-2473";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Revista Catalana d'Ornitologia";"1697-4697";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"JOURNAL OF IBERIAN GEOLOGY";"1698-6180";"J IBER GEOL";290;1.667;1.648;1;32;"4.4";0.00076;0.547;"GEOLOGY"
"BIOGEOSCIENCES";"1726-4170";"BIOGEOSCIENCES";9204;3.978;4.668;0.651;467;"3.6";0.04417;1.733;"GEOSCIENCES, MULTIDISCIPLINARY"
"BIOGEOSCIENCES";"1726-4170";"BIOGEOSCIENCES";9204;3.978;4.668;0.651;467;"3.6";0.04417;1.733;"ECOLOGY"
"INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCE AND TECHNOLOGY";"1735-1472";"INT J ENVIRON SCI TE";1680;2.19;2.491;0.3;227;"4.3";0.00345;0.481;"ENVIRONMENTAL SCIENCES"
"INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH";"1735-6865";"INT J ENVIRON RES";680;1.1;1.129;0.158;139;"3.6";0.00176;0.22;"ENVIRONMENTAL SCIENCES"
"PROCEEDINGS OF THE SECOND HELAS INTERNATIONAL CONFERENCE: HELIOSEISMOLOGY, ASTEROSEISMOLOGY AND MHD CONNECTIONS";"1742-6588";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PLANT ECOLOGY & DIVERSITY";"1755-0874";"PLANT ECOL DIVERS";533;1.766;1.833;2.119;42;"3.2";0.00235;0.796;"PLANT SCIENCES"
"PARASITES & VECTORS";"1756-3305";"PARASITE VECTOR";4150;3.43;3.434;0.699;548;"2.5";0.01318;0.784;"PARASITOLOGY"
"Materiaux Orthopteriques et Entomocenotiques";"1764-6308";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AGRONOMY FOR SUSTAINABLE DEVELOPMENT";"1774-0746";"AGRON SUSTAIN DEV";1605;3.992;4.369;0.485;68;"4.4";0.00531;1.199;"AGRONOMY"
"PHYTON-INTERNATIONAL JOURNAL OF EXPERIMENTAL BOTANY";"1851-5657";"PHYTON-INT J EXP BOT";131;0.117;0.232;0;51;">10.0";0.00013;0.05;"PLANT SCIENCES"
"ZEITSCHRIFT DER DEUTSCHEN GESELLSCHAFT FUR GEOWISSENSCHAFTEN";"1860-1804";"Z DTSCH GES GEOWISS";181;0.569;0.611;0.683;41;"4.2";0.00041;0.172;"GEOSCIENCES, MULTIDISCIPLINARY"
"Endangered Species Research";"1863-5407";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Environmental Science and Engineering";"1863-5520";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ENVIRONMENTAL EARTH SCIENCES";"1866-6280";"ENVIRON EARTH SCI";4852;1.765;2.013;0.264;828;"2.9";0.01272;0.349;"WATER RESOURCES"
"ENVIRONMENTAL EARTH SCIENCES";"1866-6280";"ENVIRON EARTH SCI";4852;1.765;2.013;0.264;828;"2.9";0.01272;0.349;"GEOSCIENCES, MULTIDISCIPLINARY"
"ENVIRONMENTAL EARTH SCIENCES";"1866-6280";"ENVIRON EARTH SCI";4852;1.765;2.013;0.264;828;"2.9";0.01272;0.349;"ENVIRONMENTAL SCIENCES"
"SOLID EARTH";"1869-9510";"SOLID EARTH";278;2.27;2.204;0.578;90;"2.3";0.00153;0.981;"GEOCHEMISTRY & GEOPHYSICS"
"2013 ISES SOLAR WORLD CONGRESS";"1876-6102";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CONSERVATION GENETICS RESOURCES";"1877-7252";"CONSERV GENET RESOUR";965;1.172;0.952;0.101;278;"2.7";0.00451;0.289;"GENETICS & HEREDITY"
"CONSERVATION GENETICS RESOURCES";"1877-7252";"CONSERV GENET RESOUR";965;1.172;0.952;0.101;278;"2.7";0.00451;0.289;"BIODIVERSITY CONSERVATION"
"PLOS ONE";"1932-6203";"PLOS ONE";332716;3.234;3.702;0.489;30040;"2.7";1.53341;1.209;"MULTIDISCIPLINARY SCIENCES"
"MITOCHONDRIAL DNA";"1940-1736";"MITOCHONDR DNA";597;1.209;1.38;0.26;169;"2.4";0.00149;0.243;"GENETICS & HEREDITY"
"ITALIAN JOURNAL OF GEOSCIENCES";"2038-1719";"ITAL J GEOSCI";184;1.014;1.198;0.441;34;"3.1";0.00076;0.381;"GEOSCIENCES, MULTIDISCIPLINARY"
"REMOTE SENSING";"2072-4292";"REMOTE SENS-BASEL";3061;3.18;3.257;0.505;572;"2.5";0.01044;0.772;"REMOTE SENSING"
"ECOSPHERE";"2150-8925";"ECOSPHERE";1180;2.255;2.616;0.304;161;"2.8";0.00733;1.074;"ECOLOGY"
"2012 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS)";"2153-6996";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FRESHWATER SCIENCE";"2161-9549";"FRESHW SCI";513;1.941;1.946;1.082;110;"1.8";0.00211;0.658;"MARINE & FRESHWATER BIOLOGY"
"FRESHWATER SCIENCE";"2161-9549";"FRESHW SCI";513;1.941;1.946;1.082;110;"1.8";0.00211;0.658;"ECOLOGY"
"JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES";"2169-897X";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"PROCEEDINGS OF THE ISPRS COMMISSION V MID-TERM SYMPOSIUM CLOSE RANGE IMAGE MEASUREMENT TECHNIQUES";"2194-9034";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"EXTREME HYDROLOGICAL EVENTS";"2199-899X";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"IMA fungus";"2210-6340";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CENTERIS 2014 - CONFERENCE ON ENTERPRISE INFORMATION SYSTEMS / PROJMAN 2014 - INTERNATIONAL CONFERENCE ON PROJECT MANAGEMENT / HCIST 2014 - INTERNATIONAL CONFERENCE ON HEALTH AND SOCIAL CARE INFORMATION SYSTEMS AND TECHNOLOGIES";"2212-0173";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ECOSYSTEM SERVICES";"2212-0416";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
